时间,等级,类型,代码,名称,现价,涨跌幅,正股涨跌幅,溢价率,评分,详情
14:54:58,B,股价大涨转债滞涨,128142,新乳转债,115.30,+0.96%,+3.66%,29.51%,0.7,正股大涨+3.7% 转债仅+1.0% 偏离2.7% 🔗板块 绿色电力/西部大开发(均涨+2.7%)
14:55:03,B,超跌修复,123241,欧通转债,1283.98,-2.30%,-0.28%,4.35%,0.0,转债超跌-2.3% vs 正股-0.3% 偏离2.0% 修复空间大
14:56:29,B,超跌修复,118050,航宇转债,296.21,-3.42%,-0.75%,26.43%,0.2,转债超跌-3.4% vs 正股-0.8% 偏离2.7% 修复空间大
14:57:10,B,超跌修复,127055,精装转债,250.61,-2.11%,+3.48%,19.89%,7.2,转债超跌-2.1% vs 正股+3.5% 偏离5.6% 修复空间大
14:57:10,B,正股大跌转债抗跌,128127,文科转债,114.37,-0.13%,-5.35%,15.25%,3.8,正股大跌-5.3% 转债仅-0.1% 抗跌 🔗板块 绿色电力/PPP概念(均涨+2.9%)
14:57:10,B,超跌修复,118060,瑞可转债,250.84,-2.73%,+0.71%,34.76%,1.1,转债超跌-2.7% vs 正股+0.7% 偏离3.4% 修复空间大
14:57:10,B,股价大涨转债滞涨,123131,奥飞转债,273.73,+0.77%,+4.02%,25.34%,1.2,正股大涨+4.0% 转债仅+0.8% 偏离3.2% 🔗板块 绿色电力/东数西算(算力)(均涨+3.2%)
14:57:37,B,股价大涨转债滞涨,127078,优彩转债,144.18,+0.13%,+3.40%,24.80%,1.1,正股大涨+3.4% 转债仅+0.1% 偏离3.3%
14:58:00,B,正股大跌转债抗跌,110084,贵燃转债,129.47,-0.48%,-3.42%,20.63%,0.8,正股大跌-3.4% 转债仅-0.5% 抗跌 🔗板块 地下管网/氢能源(均涨+4.8%)
14:58:19,B,放量拉升,118018,瑞科转债,296.07,+1.80%,+1.19%,-0.09%,0.5,"放量3.8x (均量133手/轮, 峰值512手) 成交额8.46亿 ⚠️强赎"
14:59:04,B,放量拉升,111001,山玻转债,206.08,+3.92%,-2.48%,0.96%,0.4,"放量3.7x (均量212手/轮, 峰值784手) 成交额26.84亿 ⚠️强赎"
14:59:58,B,股价大涨转债滞涨,128142,新乳转债,115.25,+0.92%,+3.73%,29.37%,0.8,正股大涨+3.7% 转债仅+0.9% 偏离2.8% 🔗板块 绿色电力/西部大开发(均涨+2.8%)
